symbol,name,last_price,price_change,percent_change,opinion,opinion_pct,opinion_previous,opinion_last_week,opinion_last_month,has_options,has_weekly_options,signal_strength,signal_direction,recommended_strategy,source,updated_at
CGEM,Cullinan Therapeutics Inc,22.09,-0.07,-0.32,100% Buy,100.0,100% Buy,100% Buy,96% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243911+00:00
CIB,Bancolombia S.A. ADR,100.58,-1.29,-1.27,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.243973+00:00
CLMT,Calumet Inc,53.13,-0.37,-0.69,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244040+00:00
CRDL,Cardiol Therapeutics,2.2,0.04,1.85,100% Buy,100.0,100% Buy,100% Buy,64% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244109+00:00
DAC,Danaos Corp,155.26,1.11,0.72,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244180+00:00
DINO,HF Sinclair Corp,105.41,-0.74,-0.7,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244244+00:00
GORO,Goldgroup Mining Inc,4.15,0.1,2.47,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244306+00:00
MPC,Marathon Petroleum,388.9,1.19,0.31,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244367+00:00
HALO,Halozyme Therapeutic,110.19,-0.57,-0.51,100% Buy,100.0,100% Buy,100% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244429+00:00
HNST,The Honest Company,5.95,0.1,1.71,100% Buy,100.0,100% Buy,100% Buy,96% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244491+00:00
ILMN,Illumina Inc,218.22,-3.44,-1.55,100% Buy,100.0,100% Buy,100% Buy,88% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244554+00:00
ING,ING Groep N.V. ADR,37.18,0.09,0.24,100% Buy,100.0,100% Buy,88% Buy,100% Buy,True,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244615+00:00
ARTNA,Artesian Res Corp A,36.19,-0.11,-0.3,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244677+00:00
BUUU,BuUU Group Limited Class A Ordinary Share,34.6,2.93,9.25,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244740+00:00
IPEX,Inflection Point Acquisition Corp V,7.75,-3.17,-29.03,Hold,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244804+00:00
CFFI,C&F Financial Corp,94.89,0.26,0.27,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244868+00:00
PBAM,Private Bancorp of America Inc,90.1,0.6,0.67,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.244929+00:00
TISI,Team Inc,27.91,1.16,4.34,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245014+00:00
CIX,Compx International Inc,35.0,-0.93,-2.59,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245081+00:00
CPBI,Central Plains Bancshares Inc,21.45,0.47,2.24,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245156+00:00
PROV,Provident Financial,18.7,0.17,0.92,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245226+00:00
SAIH,Saiheat Limited,25.94,0.94,3.74,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245294+00:00
EDRY,Eurodry Ltd,57.43,5.38,10.34,100% Buy,100.0,100% Buy,100% Buy,100% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245382+00:00
RNXT,Renovorx Inc,2.39,0.02,0.84,100% Buy,100.0,100% Buy,100% Buy,16% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245452+00:00
EHLD,Euroholdings Ltd,11.52,0.01,0.04,100% Buy,100.0,100% Buy,100% Buy,80% Buy,False,False,Maximum (Top 1%),Strong Bullish,CSP,barchart,2026-09-04T22:35:39.245512+00:00
